spec_fixed,spec_variable,M,beta,certified,status,label,source_file
"('margin', 1, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",1.0299717639322616,79.66244462367285,True,ok,k_fixed1_k_variable2,batch_summary_2.csv
"('margin', 2, 1.0, 0.0)","('margin', 3, 1.0, 0.0)",1.0498731572965168,30.108603296111838,True,ok,k_fixed2_k_variable3,batch_summary_2.csv
"('margin', 3, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",1.135010131430796,35.24437152765032,True,ok,k_fixed3_k_variable5,batch_summary_2.csv
"('margin', 5, 1.0, 0.0)","('margin', 7, 1.0, 0.0)",1.102983878245002,38.796926445390575,True,ok,k_fixed5_k_variable7,batch_summary_2.csv
"('margin', 7, 1.0, 0.0)","('margin', 10, 1.0, 0.0)",1.1012492551671105,112.07447201528076,True,ok,k_fixed7_k_variable10,batch_summary_2.csv
"('margin', 10, 1.0, 0.0)","('margin', 13, 1.0, 0.0)",1.070423747601157,38.9029663210021,True,ok,k_fixed10_k_variable13,batch_summary_2.csv
"('margin', 13, 1.0, 0.0)","('margin', 16, 1.0, 0.0)",1.0436842810439206,26.10811101897247,True,ok,k_fixed13_k_variable16,batch_summary_2.csv
"('margin', 16, 1.0, 0.0)","('margin', 20, 1.0, 0.0)",1.0433168187241038,25.70551840993829,True,ok,k_fixed16_k_variable20,batch_summary_2.csv
"('margin', 20, 1.0, 0.0)","('margin', 25, 1.0, 0.0)",1.0392263288258772,18.446930161686826,True,ok,k_fixed20_k_variable25,batch_summary_2.csv
"('margin', 1, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",1.3261344000227575,7.534859359771521,True,ok,k_fixed1_k_variable5,batch_summary_2.csv
"('margin', 10, 1.0, 0.0)","('margin', 25, 1.0, 0.0)",1.1817479017667911,24.46105264173158,True,ok,k_fixed10_k_variable25,batch_summary_2.csv
"('margin', 3, 1.0, 0.0)","('margin', 13, 1.0, 0.0)",1.4183872763465817,11.594807831994297, True, ok, n/a,batch_summary_2.csv
"('margin', 9, 1.0, 0.0)","('margin', 14, 1.0, 0.0)",1.1078778470484143,109.7671283034336,True,ok,k_fixed9_k_variable14,batch_summary_3.csv
"('margin', 13, 1.0, 0.0)","('margin', 18, 1.0, 0.0)",1.070423747601157,38.9029663210021,True,ok,k_fixed13_k_variable18,batch_summary_3.csv
"('margin', 4, 1.0, 0.0)","('margin', 22, 1.0, 0.0)",1.3896682297951528,23.634569639338025,True,ok,k_fixed4_k_variable22,batch_summary_3.csv
"('margin', 2, 1.0, 0.0)","('margin', 9, 1.0, 0.0)",1.4039815625635883,49.76122107228664,True,ok,k_fixed2_k_variable9,batch_summary_3.csv
"('margin', 2, 1.0, 0.0)","('margin', 10, 1.0, 0.0)",1.4484306751157634,9.091751744991225,True,ok,k_fixed2_k_variable10,batch_summary_3.csv
"('margin', 5, 1.0, 0.0)","('margin', 25, 1.0, 0.0)",1.3385742768597724,31.84770528216009,True,ok,k_fixed5_k_variable25,batch_summary_3.csv
"('margin', 16, 1.0, 0.0)","('margin', 18, 1.0, 0.0)",1.0188634202534417,38.13316642041019,True,ok,k_fixed16_k_variable18,batch_summary_3.csv
"('margin', 2, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",1.189854012502157,20.891665576340337,True,ok,k_fixed2_k_variable5,batch_summary_3.csv
"('margin', 9, 1.0, 0.0)","('margin', 2, 1.0, 0.0)",0.7117259918374386,22.61228024947988,True,ok,k_fixedmargin-9_k_variablemargin-2,batch_summary_6.csv
"('margin', 25, 1.0, 0.0)","('margin', 5, 1.0, 0.0)",0.7488304600067317,86.67174407688196,True,ok,k_fixedmargin-25_k_variablemargin-5,batch_summary_6.csv
"('margin', 18, 1.0, 0.0)","('margin', 16, 1.0, 0.0)",0.9762918630164742,34.13625161665352,True,ok,k_fixedmargin-18_k_variablemargin-16,batch_summary_6.csv
"('margin', 1, 1.0, 0.0)","('heatmap', 0.0, 3)",0.9876493654625398,105.92668099699742,True,ok,k_fixedmargin-1_k_variableheatmap-0.0-3,batch_summary_6.csv
"('heatmap', 0.0, 3)","('margin', 1, 1.0, 0.0)",1.0127289616903976,117.63172441553807,True,ok,k_fixedheatmap-0.0-3_k_variablemargin-1,batch_summary_6.csv
"('margin', 13, 1.0, 0.0)","('heatmap', 1.0, 3)",0.3343015875686875,40.10220116937917,True,ok,k_fixedmargin-13_k_variableheatmap-1.0-3,batch_summary_6.csv
"('heatmap', 2.0, 3)","('margin', 9, 1.0, 0.0)",2.9487496625649525,4.3092175652854525,True,ok,k_fixedheatmap-2.0-3_k_variablemargin-9,batch_summary_6.csv
"('margin', 3, 1.0, 0.0)","('heatmap', 1.5, 3)",0.3740501347150509,171.71346112055116,True,ok,k_fixedmargin-3_k_variableheatmap-1.5-3,batch_summary_6.csv
"('heatmap', 0.0, 3)","('heatmap', 0.5, 3)",0.9966765365542852,186.31151697595877,True,ok,k_fixedheatmap-0.0-3_k_variableheatmap-0.5-3,batch_summary_6.csv
"('heatmap', 0.0, 3)","('heatmap', 1.0, 3)",0.9890828626697648,89.91385727428298,True,ok,k_fixedheatmap-0.0-3_k_variableheatmap-1.0-3,batch_summary_6.csv
"('heatmap', 0.0, 3)","('heatmap', 2.0, 3)",0.821273692982765,7.650559705721641,True,ok,k_fixedheatmap-0.0-3_k_variableheatmap-2.0-3,batch_summary_6.csv
"('heatmap', 0.5, 3)","('heatmap', 1.5, 3)",0.996522290399978,107.52309548413857,True,ok,k_fixedheatmap-0.5-3_k_variableheatmap-1.5-3,batch_summary_6.csv
"('heatmap', 1.0, 3)","('heatmap', 2.0, 3)",0.999524956657424,84.549492744576,True,ok,k_fixedheatmap-1.0-3_k_variableheatmap-2.0-3,batch_summary_6.csv
"('heatmap', 0.25, 3)","('heatmap', 1.75, 3)",0.9787054858248452,25.48955595499896,True,ok,k_fixedheatmap-0.25-3_k_variableheatmap-1.75-3,batch_summary_6.csv
"('heatmap', 0.75, 3)","('heatmap', 1.25, 3)",0.9987080353287072,109.75691574042918,True,ok,k_fixedheatmap-0.75-3_k_variableheatmap-1.25-3,batch_summary_6.csv
"('margin', 13, 1.0, 0.0)","('heatmap', 1.0, 3)",0.334291206821336,39.86874525200472,True,ok,k_fixedmargin-13_k_variableheatmap-1.0-3,batch_summary_8.csv
"('margin', 25, 1.0, 0.0)","('heatmap', 0.0, 3)",0.3984107034383011,32.88302377212533,True,ok,k_fixedmargin-25_k_variableheatmap-0.0-3,batch_summary_8.csv
"('margin', 13, 10.0, 0.0)","('heatmap', 1.0, 3)",0.7294024754687607,12.707452351195874,True,ok,k_fixedmargin_scaled-13-10.0_k_variableheatmap-1.0-3,batch_summary_10.csv
"('margin', 25, 10.0, 0.0)","('heatmap', 0.0, 3)",0.704104139716502,22.309065196292885,True,ok,k_fixedmargin_scaled-25-10.0_k_variableheatmap-0.0-3,batch_summary_10.csv
"('margin', 13, 10.0, 0.0)","('heatmap', 0.0, 3)",0.8728535756963971,82.03328646557453,True,ok,k_fixedmargin_scaled-13-10.0_k_variableheatmap-0.0-3,batch_summary_10.csv
