cache_key,em_avg,em_max,em_sum,em_l1,em_l2,em_rms,em_std,entropy_effective_rank,participation_ratio,num_options,proxy_dimension_size,p_proxy_correct,wn_actor,wn_critic,wn_whole_model,wn_policy_net_0,wn_policy_net_2,wn_action_net,wn_value_net_0,wn_value_net_2,wn_value_net_out,weight_decay,hit_rate,proxy_hit_rate,correct,proxy_correct,episodes,mean_reward,fit_status,fit_L,fit_A,fit_tau,fit_L_err,fit_A_err,fit_tau_err,r_squared,rmse,fit_points_used
"('margin', 1.0, 1.0, 0.0, 4)",0.8126540140173442,1.7504263295424962,3.2506160560693766,3.2506160560693766,2.004251149227244,1.002125574613622,0.5762542608292489,3.6049715544406853,3.4372635081836225,4,4,1.0,12.98285987842314,8.52107612878746,15.529436210479789,4.720297875329615,11.772202103568713,2.772849837921335,2.896721653341403,7.950277939322443,1.0053968088160088,0.0,1.0,1.0,500,500,500,1.0,ok,1.0054360242414733,0.9681098129068938,13805.960846800464,9.033883653823136e-05,0.0005864781641425,12.901496791349672,0.959044710210442,0.0344569512134982,200704
"('margin', 2.0, 1.0, 0.0, 4)",0.6876540140173442,1.2504263295424962,2.7506160560693766,2.7506160560693766,1.5824885730993572,0.7912442865496786,0.37820764981410115,3.8920304241250663,3.8121058341354264,4,4,1.0,14.053766472368572,8.496344588936882,16.422430497153215,5.121583020474479,12.652965253620954,3.343682059484623,2.8245834020202047,7.949131913144307,1.0103968559035184,0.0,1.0,1.0,500,500,500,1.0,ok,1.0057172935529208,0.9622694789021642,16098.118300740867,0.0001003151908677,0.0005838010143473,15.356526690449838,0.9578583322544372,0.0370375479446149,200704
"('margin', 3.0, 1.0, 0.0, 4)",0.6459873473506774,1.0837596628758297,2.5839493894027097,2.5839493894027097,1.4527838562267972,0.7263919281133986,0.3171258760681059,3.9733533582327665,3.9496685423358238,4,4,1.0,15.198479901602983,8.497686215586938,17.412767222300026,5.318003804749932,13.65436644844028,4.0337208311686,2.858319598467073,7.935731805387744,1.0319112386986873,0.0,1.0,1.0,500,500,500,1.0,ok,1.0049135135744731,0.9638641366935884,17827.808476860464,9.984643733015263e-05,0.0005380120775417,15.892614650215654,0.9633714639923894,0.0359191205610057,200704
"('margin', 5.0, 1.0, 0.0, 4)",0.6126540140173442,0.9504263295424963,2.450616056069377,2.450616056069377,1.3549128722508144,0.6774564361254072,0.2719684876544437,3.9999631613239908,3.9999264252646674,4,4,1.0,16.57128757997446,8.536001631849604,18.640571233660054,5.583564446301529,14.82540331745416,4.861974558451784,2.912653881722996,7.956924345059584,1.033018001402288,0.0,1.0,1.0,500,500,500,1.0,ok,1.0034830569550406,0.9444327666032294,21680.83330264375,0.000110980102445,0.0005092733457533,19.41269849548026,0.9641144040535764,0.0374954031468513,200704
"('margin', 7.0, 1.0, 0.0, 4)",0.59836829973163,0.8932834723996391,2.39347319892652,2.39347319892652,1.314940191568032,0.657470095784016,0.25415534991115335,3.9954971295065227,3.9908490911528722,4,4,1.0,17.253604258191075,8.581600331173075,19.26994354278857,5.633761097241347,15.31334985009551,5.607932967329319,2.864926187053732,8.019998444829943,1.0562609202507132,0.0,1.0,1.0,500,500,500,1.0,ok,0.9954106532423772,0.9125346362981744,24716.58473335441,9.572066218976136e-05,0.0003895848349532,18.14354312197918,0.9763105254122976,0.0306256174130325,200704
"('margin', 10.0, 1.0, 0.0, 4)",0.5876540140173442,0.8504263295424962,2.3506160560693767,2.3506160560693767,1.2858567551154567,0.6429283775577284,0.24162929970194622,3.9852778326161027,3.9697925401778877,4,4,1.0,18.56239092182492,8.54585816945796,20.43511802234427,5.806666066524279,16.565245487174234,6.036358825995803,2.882138920481818,7.976901509537495,1.0459490440139478,0.0,1.0,1.0,500,500,500,1.0,ok,0.9868641478573368,0.8740421076041787,31290.258308969183,0.0001064438638236,0.0003372829090572,22.666542027735264,0.9787851362556442,0.0298266178132798,200704
"('margin', 13.0, 1.0, 0.0, 4)",0.5818847832481134,0.8273494064655731,2.3275391329924537,2.3275391329924537,1.2705408942498526,0.6352704471249263,0.23524355674288927,3.9774387159557554,3.9535287019786796,4,4,1.0,18.726097541159056,8.644532072183145,20.625097911719266,5.745871025452374,16.644094723301983,6.373837629060006,2.943757767474705,8.061086027038131,1.0397677712479605,0.0,1.0,1.0,500,500,500,1.0,ok,0.967451093704042,0.8189093546060986,37038.36599013325,0.000115676123747,0.0002962249891564,27.46377734088908,0.9797583289456668,0.0284733049554112,200704
"('margin', 16.0, 1.0, 0.0, 4)",0.5782790140173442,0.8129263295424962,2.3131160560693766,2.3131160560693766,1.2610976315652562,0.6305488157826281,0.2313989944793666,3.9717706903321774,3.941740240656891,4,4,1.0,19.65744705465982,8.631151956387711,21.46886137644494,5.8148330369589525,17.603533243788227,6.535943603940252,2.906623075494025,8.057459328408525,1.0609785871088602,0.0,1.0,1.0,500,500,500,1.0,ok,0.9579229414879094,0.7959831697373819,42748.6640437779,0.0001264167068275,0.0002636475305497,31.85407561189061,0.9815836307144882,0.0271367765808383,200704
"('margin', 20.0, 1.0, 0.0, 4)",0.5751540140173441,0.8004263295424964,2.3006160560693765,2.3006160560693765,1.2529966080168344,0.6264983040084172,0.22816715944598406,3.9664153127146577,3.9305902050257364,4,4,1.0,20.22390510052593,8.63426288847729,21.989925719347365,5.892014696232051,18.16120038853533,6.667930772130736,2.937569234417652,8.050379539029361,1.0547852378169196,0.0,1.0,1.0,500,500,500,1.0,ok,0.9409463779577,0.7477358696038658,52326.72381648791,0.000166118425123,0.0002520077678539,46.21085245570657,0.9787194873325612,0.0281598275722309,200704
"('margin', 25.0, 1.0, 0.0, 4)",0.5726540140173442,0.7904263295424964,2.2906160560693767,2.2906160560693767,1.246572807479298,0.623286403739649,0.22565376704494164,3.9618558281433,3.9210929643119945,4,4,1.0,20.316060989076718,8.67316853969172,22.089956691441994,5.736159215978905,18.318234595457337,6.6544040203924295,2.960053417607409,8.085577556873117,1.041811813428238,0.0,1.0,1.0,500,500,500,1.0,ok,0.9049844709750025,0.7005955943986186,58976.69738715024,0.0002088463526122,0.0002620450655005,63.22559651807621,0.9728137574309036,0.0301033680494696,200704
