test,n_obs,n_x_values,max_band_width,meets_target,x_star,best_shape_model,shape_verdict,logistic_aic,logistic_bic,logistic_loglik,logistic_frac_outside_ci,logistic_rmse,logistic_r2,logistic_pseudo_r2,probit_aic,probit_bic,probit_loglik,probit_frac_outside_ci,probit_rmse,probit_r2,probit_pseudo_r2,laplace_aic,laplace_bic,laplace_loglik,laplace_frac_outside_ci,laplace_rmse,laplace_r2,laplace_pseudo_r2,gennorm_aic,gennorm_bic,gennorm_loglik,gennorm_frac_outside_ci,gennorm_rmse,gennorm_r2,gennorm_pseudo_r2
heatmap_vs_heatmap_harder_variable,390,25,0.2612731683525488,False,0.3550257089666557,gennorm,gennorm clearly best by AIC (ΔAIC=58.72 over probit),3048.6516549291277,3051.0894065788643,-1522.3258274645639,0.024844720496894408,0.05183704313874277,0.9774377839189012,0.9679159630446484,2898.9576684607932,2901.39542011053,-1447.4788342303966,0.009316770186335404,0.05158070292074564,0.9776603777530818,0.9694934135835528,3769.371242350484,3771.8089940002205,-1882.685621175242,0.037267080745341616,0.05665834077256706,0.9730456404664117,0.9603211389077602,2840.2343583702036,2843.8909858448083,-1417.1171791851018,0.0,0.051771504404621416,0.9774947996827362,0.9701333058095957
margin_vs_heatmap,1861,31,0.16993364421541635,False,0.7355070847878719,gennorm,gennorm clearly best by AIC (ΔAIC=106.98 over logistic),4969.820185370845,4972.688159779816,-2482.9100926854226,0.07763975155279502,0.028594558935574797,0.9903255255589433,0.9830747199194803,5430.48955140414,5433.35752581311,-2713.24477570207,0.012422360248447204,0.030301250568254393,0.9891362019714472,0.9815045949947803,5537.898637712443,5540.766612121413,-2766.9493188562215,0.2515527950310559,0.02976993248318411,0.9895138449038994,0.9811385066546675,4862.839338115801,4867.141299729256,-2428.4196690579006,0.059006211180124224,0.028323817099424522,0.9905078598899658,0.9834461653795148
margin_vs_margin_baseline,1568,38,0.19363269302490616,False,0.9990574628843734,laplace,laplace clearly best by AIC (ΔAIC=48.99 over logistic),8483.82816248243,8487.103334801883,-4239.914081241215,0.009316770186335404,0.040323736214735985,0.9703018092092638,0.9513867958558799,8656.689162973513,8659.964335292965,-4326.344581486756,0.003105590062111801,0.041120522081849874,0.9691165575890184,0.9503958173897585,8434.841093144261,8438.116265463714,-4215.420546572131,0.009316770186335404,0.04011440032873887,0.9706093580885323,0.9516676291884107,9633.751072466412,9638.66383094559,-4813.875536233206,0.003105590062111801,0.04513448358547915,0.962792934537704,0.9448059772714115
margin_vs_margin_harder_variable,5192,64,0.43729523693722394,False,1.230802641915041,gennorm,gennorm clearly best by AIC (ΔAIC=16.04 over probit),15104.606956079255,15108.924722245974,-7550.303478039627,0.13043478260869565,0.030685112963386357,0.9880602418261298,0.9799945247429698,14578.126944004434,14582.444710171154,-7287.063472002217,0.049689440993788817,0.030548445756385188,0.9881663610089683,0.9806920121277827,20718.77350941106,20723.09127557778,-10357.38675470553,0.3416149068322981,0.03614197614980746,0.9834360516409432,0.9725568058222537,14562.08769189713,14568.564341147208,-7278.043845948565,0.052795031055900624,0.030517862389933932,0.9881900434809006,0.9807159107573369
margin_vs_margin_label_noise,925,60,0.36329645114992065,False,1.256204680078125,logistic,logistic clearly best by AIC (ΔAIC=3.55 over gennorm),6855.137538434067,6859.326227558511,-3425.5687692170336,0.003105590062111801,0.06201662555896769,0.9310575910288655,0.9326668698410131,6944.022832655243,6948.211521779687,-3470.0114163276216,0.0,0.06216941271400706,0.9307174728792287,0.9317933032177422,7014.747039235896,7018.93572836034,-3505.373519617948,0.009316770186335404,0.06235991613234125,0.9302922225963078,0.9310982241625676,6858.6916869866545,6864.974720673321,-3426.3458434933273,0.003105590062111801,0.0619821726835684,0.9311341706371371,0.9326515956349137
margin_vs_margin_more_options,372,23,0.16094523511271286,False,1.0511468171920053,probit,"probit and gennorm fit about equally well by AIC (ΔAIC=1.47) - shape is ambiguous at this sample density, or something else entirely (check the plot)",811.1448091763324,813.4157976081907,-403.5724045881662,0.012422360248447204,0.022480168738253523,0.9948956845261224,0.9893774439737754,731.1468239433649,733.4178123752232,-363.57341197168245,0.003105590062111801,0.021027796543043122,0.9955339260766641,0.9904302700224116,1380.0319314889186,1382.302919920777,-688.0159657444593,0.034161490683229816,0.031698886625474876,0.989850926636678,0.9818905156547667,732.6189820475431,736.0254646953306,-363.30949102377156,0.003105590062111801,0.021072094991782378,0.9955150892444302,0.990437216768581
margin_vs_margin_scale_mismatch,480,24,0.34176574205253174,False,1.011480736148116,gennorm,gennorm clearly best by AIC (ΔAIC=282.36 over probit),2574.3508650532563,2576.706972713952,-1285.1754325266281,0.0,0.037770115269752345,0.9873028767364125,0.9767507024211283,2092.4704336200994,2094.826541280795,-1044.2352168100497,0.0,0.03722721154972628,0.987665267663939,0.981109399788148,3283.2501955411526,3285.6063032018483,-1639.6250977705763,0.0,0.03862299491527599,0.9867229800103248,0.9703385772470678,1810.1082773802514,1813.642438871295,-902.0541386901257,0.0,0.0389064768970357,0.9865273655297986,0.9836815079312333
